City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Beringovskiy,RU,63.05,179.3167,44.98,94,33,8.23,scattered clouds
253,Airai,TL,-8.9266,125.4092,55.24,83,89,3.74,overcast clouds
254,Denpasar,ID,-8.65,115.2167,80.26,89,20,13.8,few clouds
255,Guerrero Negro,MX,27.9769,-114.0611,74.75,70,81,3.96,broken clouds
256,Biu,NG,10.6129,12.1946,79.32,67,56,7.81,broken clouds
257,Kinablangan,PH,7.6947,126.5503,79.34,85,82,5.82,light rain
258,Teguise,ES,29.0605,-13.564,77.22,57,20,20.71,few clouds
259,Komsomolskiy,UZ,40.4272,71.7189,84.15,24,95,6.67,overcast clouds
260,Goderich,CA,43.7501,-81.7165,80.04,69,0,8.19,clear sky
261,Sosnovo-Ozerskoye,RU,52.5249,111.5418,52.77,83,7,6.93,clear sky
262,Kismayo,SO,-0.3582,42.5454,76.55,80,55,14.52,broken clouds
263,Vasilsursk,RU,56.1275,46.0072,65.53,54,8,3.6,clear sky
264,Duncan,US,34.5023,-97.9578,82.35,68,40,10.36,haze
265,Rocha,UY,-34.4833,-54.3333,60.53,83,75,9.95,broken clouds
266,Sangar,RU,63.9242,127.4739,61.56,33,0,9.98,clear sky
267,Deputatskiy,RU,69.3,139.9,38.52,94,100,5.17,overcast clouds
268,Bathsheba,BB,13.2167,-59.5167,88.41,70,40,13.8,scattered clouds
269,Garissa,KE,-0.4536,39.6401,84.85,39,34,20.15,scattered clouds
270,Hamilton,US,39.1834,-84.5333,84.22,59,40,1.99,scattered clouds
271,Lewistown,US,40.5992,-77.5714,84.94,57,20,4.61,few clouds
272,Port Blair,IN,11.6667,92.75,82.15,86,100,19.93,overcast clouds
273,Adrar,MR,20.5022,-10.0711,109.81,9,0,18.81,clear sky
274,Aitape,PG,-3.1374,142.3475,76.69,89,5,4.54,clear sky
275,Plettenberg Bay,ZA,-34.0527,23.3716,58.3,93,79,7.36,light rain
276,Zhob,PK,31.3411,69.4481,85.6,41,52,9.42,broken clouds
277,San Quintin,MX,30.4833,-115.95,70.84,78,20,8.63,few clouds
278,Syamzha,RU,60.0158,41.0614,62.19,56,91,2.53,overcast clouds
279,Conselice,IT,44.5119,11.8312,89.02,35,78,13.71,broken clouds
280,Poronaysk,RU,49.2167,143.1167,56.39,92,100,7.56,light rain
281,Hobyo,SO,5.3505,48.5268,77.43,80,99,25.68,overcast clouds
282,Hoquiam,US,46.9809,-123.8893,63.09,66,90,4.61,overcast clouds
283,Cidreira,BR,-30.1811,-50.2056,63.41,83,100,13.67,overcast clouds
284,Bata,GQ,1.8639,9.7658,79.45,76,74,11.81,light rain
285,Batagay-Alyta,RU,67.8006,130.4114,43.84,76,57,18.59,broken clouds
286,Malartic,CA,48.1335,-78.1328,67.82,53,21,9.75,few clouds
287,Dali,CN,25.7,100.1833,65.64,83,70,2.95,broken clouds
288,Mandalgovi,MN,45.7625,106.2708,66.42,44,5,4.65,clear sky
289,Katsuura,JP,35.1333,140.3,80.71,86,48,5.88,scattered clouds
290,Praia Da Vitoria,PT,38.7333,-27.0667,80.76,75,0,13.2,clear sky
291,Portland,US,45.5234,-122.6762,72.61,74,75,1.01,smoke
292,Mahanoro,MG,-19.9,48.8,66.99,75,12,5.17,few clouds
293,Kattivakkam,IN,13.2167,80.3167,87.89,70,100,13.31,overcast clouds
294,Qujing,CN,25.4833,103.7833,66.43,80,91,3.76,overcast clouds
295,Kendari,ID,-3.945,122.4989,74.48,93,100,2.28,overcast clouds
296,Maceio,BR,-9.6658,-35.7353,74.64,88,90,5.75,overcast clouds
297,Olafsvik,IS,64.8945,-23.7142,56.14,76,32,1.77,scattered clouds
298,Nikki,BJ,9.9401,3.2108,77.67,81,76,8.68,light rain
299,Itoman,JP,26.1247,127.6694,80.98,89,20,20.71,few clouds
300,Bubaque,GW,11.2833,-15.8333,79.74,80,100,5.01,light rain
301,Gomel,BY,52.4345,30.9754,76.98,53,75,2.24,broken clouds
302,Grindavik,IS,63.8424,-22.4338,59.56,88,75,8.05,broken clouds
303,Sakakah,SA,29.9697,40.2064,101.71,10,30,10.45,scattered clouds
304,Camacha,PT,33.0833,-16.3333,75.96,83,75,16.11,broken clouds
305,Sabzevar,IR,36.2126,57.6819,87.91,17,54,18.7,broken clouds
306,Chabahar,IR,25.2919,60.643,85.53,76,25,4.56,scattered clouds
307,Lensk,RU,60.7253,114.9278,59.52,98,96,4.54,light rain
308,Avarua,CK,-21.2078,-159.775,68.05,94,90,2.3,overcast clouds
309,Atikokan,CA,48.7555,-91.6216,74.03,63,89,8.99,overcast clouds
310,Udachnyy,RU,66.4167,112.4,62.74,55,0,10.33,clear sky
311,Tahoua,NE,14.8888,5.2692,94.35,36,62,6.06,broken clouds
312,Santa Cruz,BO,-17.8,-63.1667,81.86,28,20,8.05,few clouds
313,Banda Aceh,ID,5.5577,95.3222,81.07,76,99,12.82,overcast clouds
314,Kuchera,IN,26.9839,73.9719,91.08,56,100,6.93,overcast clouds
315,Labrea,BR,-7.2586,-64.7981,97.02,21,93,4.41,overcast clouds
316,Ayakudi,IN,10.45,77.55,80.58,59,100,13.31,overcast clouds
317,Waddan,LY,29.1614,16.139,106.41,8,1,13.38,clear sky
318,Zhicheng,CN,30.2956,111.5047,79.47,86,9,6.11,light rain
319,Solnechnyy,RU,50.7214,136.6319,57.16,98,99,2.21,overcast clouds
320,Olinda,BR,-8.0089,-34.8553,76.73,83,75,19.57,mist
321,Clearwater,US,27.9659,-82.8001,87.26,78,75,14.0,broken clouds
322,Zlitan,LY,32.4674,14.5687,98.04,29,2,15.77,clear sky
323,Pravdinsk,RU,54.4429,21.0179,71.44,62,98,9.37,overcast clouds
324,Caranavi,BO,-15.8167,-67.55,76.1,38,1,4.12,clear sky
325,Nampula,MZ,-15.1165,39.2666,67.95,71,54,6.69,broken clouds
326,Gimli,CA,50.6336,-96.9907,65.43,95,99,17.25,overcast clouds
327,Bonoua,CI,5.2741,-3.595,82.02,71,90,10.69,light rain
328,Ottawa,CA,45.4112,-75.6981,84.58,56,75,1.01,broken clouds
329,Yatou,CN,37.15,122.3833,75.65,95,100,5.01,overcast clouds
330,Meulaboh,ID,4.1363,96.1285,78.21,82,97,4.74,overcast clouds
331,Valparaiso,CL,-33.0393,-71.6273,56.84,84,90,4.61,mist
332,Collie,AU,-33.3667,116.15,42.98,93,0,3.65,clear sky
333,Pisco,PE,-13.7,-76.2167,66.25,68,0,13.8,clear sky
334,Vardo,NO,70.3705,31.1107,57.4,87,75,4.61,broken clouds
335,Kamaishi,JP,39.2667,141.8833,76.6,93,1,5.68,clear sky
336,Nanortalik,GL,60.1432,-45.2371,47.5,85,88,7.4,overcast clouds
337,Shelton,US,41.3165,-73.0932,74.21,82,90,1.99,mist
338,El Viejo,NI,12.6633,-87.1672,82.58,77,98,1.88,overcast clouds
339,Luwuk,ID,-0.9516,122.7875,76.78,90,100,6.6,overcast clouds
340,Boca Do Acre,BR,-8.7522,-67.3978,93.72,23,0,5.08,clear sky
341,Palmer,US,42.1584,-72.3287,69.73,81,90,1.01,overcast clouds
342,Wilmington,US,34.2257,-77.9447,78.98,85,75,6.91,broken clouds
343,Husavik,IS,66.0449,-17.3389,54.97,78,75,8.59,broken clouds
344,Lianran,CN,24.9227,102.485,67.77,80,98,1.9,overcast clouds
345,Dikson,RU,73.5069,80.5464,53.06,84,1,3.8,clear sky
346,Guangyuan,CN,32.442,105.823,73.49,80,90,4.83,overcast clouds
347,Bartica,GY,6.4,-58.6167,89.92,51,52,2.55,broken clouds
348,San Lorenzo,PY,-25.3333,-57.5333,73.17,35,100,7.34,overcast clouds
349,Lakes Entrance,AU,-37.8811,147.981,48.18,81,65,13.82,broken clouds
350,Mikkeli,FI,61.6886,27.2723,66.31,52,0,4.61,clear sky
351,Ulu-Telyak,RU,54.9086,56.9669,64.89,95,75,2.8,broken clouds
352,Kisumu,KE,-0.1022,34.7617,72.39,72,50,4.45,light rain
353,Korla,CN,41.7597,86.1469,86.27,21,84,11.83,broken clouds
354,Skoghall,SE,59.3232,13.4655,72.16,37,30,8.05,scattered clouds
355,Bonfim,BR,3.0833,-59.95,84.9,65,15,6.85,few clouds
356,Floro,NO,61.5996,5.0328,72.3,63,40,9.22,scattered clouds
357,Lucea,JM,18.451,-78.1736,85.86,64,16,5.1,few clouds
358,Tezu,IN,27.9167,96.1667,79.92,85,57,4.36,broken clouds
359,Shihezi,CN,44.3,86.0333,73.58,57,73,7.7,light rain
360,Acarau,BR,-2.8856,-40.12,89.58,47,23,14.36,few clouds
361,Tallahassee,US,30.4383,-84.2807,80.92,92,90,1.01,overcast clouds
362,Lima,PE,-12.0432,-77.0282,64.65,72,40,16.11,scattered clouds
363,Saint-Augustin,CA,51.226,-58.6502,74.77,41,0,19.8,clear sky
364,Richards Bay,ZA,-28.783,32.0377,67.37,75,0,10.85,clear sky
365,Kloulklubed,PW,7.0419,134.2556,75.7,68,98,3.4,overcast clouds
366,Republic,US,37.12,-93.4802,80.38,72,75,10.36,broken clouds
367,Tocopilla,CL,-22.092,-70.1979,68.68,52,1,3.69,clear sky
368,Enderby,GB,52.5878,-1.2062,64.0,73,100,17.0,overcast clouds
369,Namibe,AO,-15.1961,12.1522,75.29,58,1,8.5,clear sky
370,Omboue,GA,-1.5746,9.2618,78.6,69,65,11.83,broken clouds
371,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.05,80,82,10.11,broken clouds
372,Kutum,SD,14.2,24.6667,88.77,30,61,10.63,broken clouds
373,Gamba,GA,-2.65,10.0,76.05,76,81,11.34,broken clouds
374,Tual,ID,-5.6667,132.75,80.51,78,60,21.0,broken clouds
375,Maldonado,UY,-34.6667,-54.9167,62.22,82,58,11.74,broken clouds
376,Mopti,ML,14.6667,-4.0,96.12,34,80,4.79,broken clouds
377,Borzya,RU,50.3833,116.5167,59.2,70,19,2.35,few clouds
378,Alta,NO,69.9689,23.2717,58.26,63,0,8.05,clear sky
379,Rocky Mount,US,35.9382,-77.7905,81.36,50,1,10.36,clear sky
380,Naze,JP,28.3667,129.4833,77.67,94,100,22.68,overcast clouds
381,Cockburn Town,TC,21.4612,-71.1419,84.16,70,40,17.27,scattered clouds
