City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Espinosa,BR,81.82,overcast clouds,-14.9261,-42.8192,Hotel Vilma
510,Vaitape,PF,78.85,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
512,Zandvoort,NL,75.9,few clouds,52.3749,4.5341,Pension & Spa de Watertoren
514,Tevaitoa,PF,78.71,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
516,Zaplavnoye,RU,87.66,broken clouds,48.7048,45.0229,"Emerald, recreation"
520,Canoa,DO,89.31,few clouds,18.355,-71.1585,Col julia
523,Dunkwa,GH,78.51,moderate rain,5.9656,-1.78,Tim Freeman Gold City Hotel
524,Bontang,ID,77.56,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
529,Kuito,AO,75.69,clear sky,-12.3833,16.9333,Herdeiros de Antunes Capusso
531,Cururupu,BR,90.0,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
534,Veraval,IN,82.33,overcast clouds,20.9,70.3667,Lords Inn Somnath
535,Chimore,BO,86.76,clear sky,-16.9833,-65.1333,Bichito
537,Kavieng,PG,80.85,light rain,-2.5744,150.7967,Nusa Island Retreat
540,Arkhangelskaya,RU,89.28,scattered clouds,45.6796,40.2754,"Baza Otdykha ""Dacha"""
549,Calvia,ES,88.41,clear sky,39.5657,2.5062,Castell Son Claret
559,Bantogon,PH,79.81,broken clouds,6.5333,124.0333,Kalamansig Greenhome
560,Krasnodon,UA,84.58,broken clouds,48.2923,39.7373,Турист
563,Redding,US,77.72,smoke,40.5865,-122.3917,Redding Inn & Suites
564,Bengkulu,ID,76.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
570,Dawei,MM,77.36,overcast clouds,14.0833,98.2,Hotel Dawei
574,Vilhena,BR,89.58,clear sky,-12.7406,-60.1458,Hotel Mirage
579,Behshahr,IR,83.08,scattered clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
580,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
581,Naples,IT,83.52,scattered clouds,40.8333,14.25,Renaissance Naples Hotel Mediterraneo
588,Yenagoa,NG,81.72,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
591,Wadena,US,75.24,clear sky,46.4425,-95.1361,Eastwood Inn of Wadena
